Ethnicity,Classical music,Country music,Dance / electronic music,Folk music,Jazz and blues,Pop / adult contemporary music,Religious,Rock / alternative / indie music,"Urban music (hip hop, R&B, etc.)",World music,Other,Don't know
American Indian or Alaskan Native,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,1%
Asian,5%,3%,5%,5%,4%,5%,3%,4%,4%,7%,4%,9%
Black or African American,12%,8%,13%,11%,17%,10%,19%,5%,22%,14%,10%,17%
Native Hawaiian or other Pacific Islander,1%,1%,1%,1%,0%,0%,0%,0%,1%,1%,1%,1%
White / Caucasian,73%,81%,69%,76%,68%,74%,70%,82%,61%,64%,70%,56%
Other (ethnicities with a share of less than 1%),4%,3%,5%,2%,3%,4%,3%,3%,5%,5%,6%,5%
Multiple ethnicities,3%,2%,4%,3%,4%,4%,2%,3%,4%,5%,6%,4%
Would rather not say,3%,2%,3%,2%,3%,2%,2%,2%,2%,3%,3%,7%
,,,,,,,,,,,,
Popularity of genres by ethnicities,,,,,,,,,,,,
American Indian or Alaskan Native,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,50%
Asian,9%,5%,9%,9%,7%,9%,5%,7%,7%,12%,7%,16%
Black or African American,8%,5%,8%,7%,11%,6%,12%,3%,14%,9%,6%,11%
Native Hawaiian or other Pacific Islander,13%,13%,13%,13%,0%,0%,0%,0%,13%,13%,13%,13%
White / Caucasian,9%,10%,8%,9%,8%,9%,8%,10%,7%,8%,8%,7%
Other (ethnicities with a share of less than 1%),8%,6%,10%,4%,6%,8%,6%,6%,10%,10%,13%,10%
Multiple ethnicities,7%,5%,9%,7%,9%,9%,5%,7%,9%,11%,14%,9%
Would rather not say,9%,6%,9%,6%,9%,6%,6%,6%,6%,9%,9%,21%
,,,,,,,,,,,,
Popularity be genre,49%,37%,53%,41%,50%,47%,42%,39%,53%,59%,56%,73%
,,,,,,,,,,,,
top 3 genres,don't know,73%,,,,,,,,,,
,world,59%,,,,,,Outliers:,,,,
,other,56%,,,,,,,,,,
,TIE: dance/electronica & urban,53%,,,,,,,,,,
